Title,Year,Amount (USD),Development Type,Subject area, ,Notes,  2,  3,  4,  5,  6,  7,  8,  9,  10,  11,  12,  13,  14,  15,  16,  17,  18,  19,  20
Stereum Ethereum Node Setup,2021,"$50,000",Ecosystem Development,Scalability,Nodes,https://forum.daohaus.club/t/stereum-ethereum-node-setup/5391,,,,,,,,,,,,,,,,,,,
Sybil Resistance,2021,"$100,000",Ecosystem Development,Security,Identity,https://forum.daohaus.club/t/moloch-grant-proposal-62-sybil-resistance/3446,,,,,,,,,,,,,,,,,,,
Ethereum Cat Herders,2021,"$10,000",Ecosystem Development,Coordination,,https://www.molochdao.com/apps/ethereum-cat-herders,,,,,,,,,,,,,,,,,,,
MetaMoloch - M1 Grant Proposal,2021,"$20,170",Ecosystem Development,Grant Matching,,https://forum.daohaus.club/t/mgp-nov-2021-metamoloch-a-grant-matching-and-ecosystem-development-initiative/4039/13,,,,,,,,,,,,,,,,,,,
MGP 57 - EIP-3074,2021,"$18,000",Ecosystem Development,Scalability,,https://www.molochdao.com/apps/eip-3074,,,,,,,,,,,,,,,,,,,
MGP 61 - TrueBlocks,2021,"$75,000",Ecosystem Development,Tooling,,https://www.molochdao.com/apps/trueblocks,,,,,,,,,,,,,,,,,,,
MGP 60 - Rotki,2021,"$100,000",Ecosystem Development,Privacy,,https://www.molochdao.com/apps/rotki,,,,,,,,,,,,,,,,,,,
Proposal 139 - Flashbots,2021,"$100,000",Ecosystem Development,Research,MEV,https://www.molochdao.com/apps/flashbots,,,,,,,,,,,,,,,,,,,
MGP 59 - Apache Tuweni,2021,"$50,000",Ecosystem Development,Tooling,,https://www.molochdao.com/apps/apache-tuweni,,,,,,,,,,,,,,,,,,,
MGP 58 - Umbra Protocol,2021,"$100,000",Ecosystem Development,Privacy,,https://www.molochdao.com/apps/umbra-protocol,,,,,,,,,,,,,,,,,,,
MGP 54 - Death Guild,2021,"$26,650",Ecosystem Development,Research,,,,,,,,,,,,,,,,,,,,,
MGP 53 - Really Boring Guild,2021,"$56,400",Moloch DAO - internal,DAO operations,,https://www.molochdao.com/apps/really-boring-guild,,,,,,,,,,,,,,,,,,,
MGP 56: Ethereum Cat Herders,2021,"$10,000",Ecosystem Development,Coordination,,,,,,,,,,,,,,,,,,,,,
MGP 52 - Neue UX,2021,"$23,000",Ecosystem Development,Tooling,,,,,,,,,,,,,,,,,,,,,
MGP 42 (tranche 3/4): clr.fund MVP,2021,"$5,000",Ecosystem Development,Research,,link not found,,,,,,,,,,,,,,,,,,,
MGP 50 - $45k for Ethereum Cat Herders - Nov. 2020,2020,"$45,000",Ecosystem Development,Coordination,,,,,,,,,,,,,,,,,,,,,
MGP 49 - Moloch DAO - Guild System Proposal,2020,"$30,000",Moloch DAO - internal,DAO operations,,,,,,,,,,,,,,,,,,,,,
block explorer (Vulcanize),2020,"$65,167",Ecosystem Development,Tooling,,340 shares - ESTIMATE BASED ON nearby transaction,,,,,,,,,,,,,,,,,,,
MGP 42 (tranche 2/4): clr.fund MVP,2020,"$5,000",Ecosystem Development,Tooling,Funding Protocol,link not found,,,,,,,,,,,,,,,,,,,
MGP 45: $1150 for Trent Van Epps for Moloch DAO operations,2020,"$1,150",Moloch DAO - internal,DAO operations,,,,,,,,,,,,,,,,,,,,,
MGP 44: DAppNode ETH2 Validator,2020,"$35,000",ETH 2 Development,Tooling,,,,,,,,,,,,,,,,,,,,,
MGP 47: $30k for Ethereum Cat Herders,2020,"$30,000",Ecosystem Development,Coordination,,,,,,,,,,,,,,,,,,,,,
MGP 43: $1200 for Moloch Operations (Yalda),2020,"$1,200",Moloch DAO - internal,DAO operations,,,,,,,,,,,,,,,,,,,,,
