aborted,applicant,cancelled,cancelledAt,createdAt,createdBy,didPass,executed,gracePeriodEnds,guildkick,isMinion,lootRequested,memberAddress,newMember,noShares,noVotes,paymentRequested,paymentTokenDecimals,paymentTokenSymbol,processed,processor,processedAt,proposer,proposalId,proposalIndex,sharesRequested,sponsored,sponsor,sponsoredAt,startingPeriod,trade,tributeOffered,tributeTokenDecimals,tributeTokenSymbol,tributeToken,votingPeriodStarts,votingPeriodEnds,whitelist,yesShares,yesVotes,molochAddress,molochVersion,minionAddress,uberHausMinionExecuted,actions,escrow,status,title,description,link,proposalType
"false","0x9cc8b5311b2f4c4b2167cc26e55ac7d29738f7f8","false","","1619223868","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","true","false","1620261649","false","false","0","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","false","0","0","449701000000000000000","18","WETH","true","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","1620310701","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","155","151","0","true","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","1619224021","4127","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1619224849","1619829649","false","10","1","0xee629a192374caf2a72cf1695c485c5c89611ef2","2","","false","","","Passed","WETH Migration","migrate","","Funding Proposal"
"false","0x9cc8b5311b2f4c4b2167cc26e55ac7d29738f7f8","false","","1617930209","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","true","false","1618980049","false","false","0","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","false","0","0","3654702138738400000000","18","DAI","true","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","1619223257","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","154","150","0","true","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","1617931594","3949","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1617943249","1618548049","false","10","1","0xee629a192374caf2a72cf1695c485c5c89611ef2","2","","false","","","Passed","Dai Migration","migrate to xdai","","Funding Proposal"
"false","0x9cc8b5311b2f4c4b2167cc26e55ac7d29738f7f8","false","","1617930057","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","false","false","1618972849","false","false","0","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","false","0","0","453190153733635700000","18","WETH","true","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","1619222169","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","153","149","0","true","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","1617931466","3948","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1617936049","1618540849","false","10","1","0xee629a192374caf2a72cf1695c485c5c89611ef2","2","","false","","","Failed","Weth Migration","migrate to xdai","","Funding Proposal"
"false","0x66b1de0f14a0ce971f7f248415063d44caf19398","true","1617837498","1617836157","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","false","false","0","false","false","0","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","false","0","0","3654702138738400000000","18","DAI","false","0x0000000000000000000000000000000000000000","","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","152","","0","false","0x0000000000000000000000000000000000000000","","0","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0","0","false","0","0","0xee629a192374caf2a72cf1695c485c5c89611ef2","2","","false","","","Cancelled","Dai Migration","migrate to xdai","","Funding Proposal"
"false","0x66b1de0f14a0ce971f7f248415063d44caf19398","true","1617837498","1617835892","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","false","false","0","false","false","0","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","false","0","0","453190153733635700000","18","WETH","false","0x0000000000000000000000000000000000000000","","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","151","","0","false","0x0000000000000000000000000000000000000000","","0","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0","0","false","0","0","0xee629a192374caf2a72cf1695c485c5c89611ef2","2","","false","","","Cancelled","WETH migration","migrate to xdai","","Funding Proposal"
"false","0xc7f459c7edcf9333d223bd1c346f46819403ca06","false","","1617137602","0xc7f459c7edcf9333d223bd1c346f46819403ca06","true","false","1618180849","false","false","0","0xc7f459c7edcf9333d223bd1c346f46819403ca06","false","0","0","4000000000000000000000","18","DAI","true","0x68d36dcbdd7bbf206e27134f28103abe7cf972df","1619222131","0xc7f459c7edcf9333d223bd1c346f46819403ca06","150","148","0","true","0x66b1de0f14a0ce971f7f248415063d44caf19398","1617138191","3838","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1617144049","1617748849","false","13","1","0xee629a192374caf2a72cf1695c485c5c89611ef2","2","","false","","","Passed","Money Mage aka Grant Herding ","Owner of grants logistics, projects and grant distribution ","hackmd.io/@codecorgi/rJdn8KLVu","Funding Proposal"
"false","0x9cc8b5311b2f4c4b2167cc26e55ac7d29738f7f8","false","","1614814265","0x66b1de0f14a0ce971f7f248415063d44caf19398","true","false","1615855249","false","false","0","0x66b1de0f14a0ce971f7f248415063d44caf19398","false","0","0","12000000000000000000","18","WETH","true","0x9492510bbcb93b6992d8b7bb67888558e12dcac4","1616772625","0x66b1de0f14a0ce971f7f248415063d44caf19398","146","144","0","true","0x66b1de0f14a0ce971f7f248415063d44caf19398","1614817198","3515","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1614818449","1615423249","false","23","2","0xee629a192374caf2a72cf1695c485c5c89611ef2","2","","false","","","Passed","Paladin Budget (Second Quarter) ","Paladin Operational support budget, destined for the Paladin Multi-sig. ","https//forum.metacartel.org/t/metacartels-paladin-role-strategy-ops/650/9","Funding Proposal"
"false","0x187089b33e5812310ed32a57f53b3fad0383a19d","false","","1614714978","0x187089b33e5812310ed32a57f53b3fad0383a19d","true","false","1615761649","false","false","0","0x187089b33e5812310ed32a57f53b3fad0383a19d","false","0","0","300000000000000000000","18","DAI","true","0x9492510bbcb93b6992d8b7bb67888558e12dcac4","1616733265","0x187089b33e5812310ed32a57f53b3fad0383a19d","145","142","1","true","0x66b1de0f14a0ce971f7f248415063d44caf19398","1614720794","3502","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1614724849","1615329649","false","23","2","0xee629a192374caf2a72cf1695c485c5c89611ef2","2","","false","","","Passed","astrological services Q12021","-requesting 1 share + 300 DAI for Q1 astrological services (+$50 for gas) 
-subscriber count increased 12.41% over two months (427 on 22DEC -> 480 on 24FEB) 
","dapp.substack.com/","Funding Proposal"
"false","0x7e225a2a269f7af1c884b20f2ba30e8c6573edff","false","","1614714509","0x7e225a2a269f7af1c884b20f2ba30e8c6573edff","true","false","1615848049","false","false","0","0x7e225a2a269f7af1c884b20f2ba30e8c6573edff","false","0","0","5000000000000000000000","18","DAI","true","0x9492510bbcb93b6992d8b7bb67888558e12dcac4","1616772239","0x7e225a2a269f7af1c884b20f2ba30e8c6573edff","144","143","0","true","0x66b1de0f14a0ce971f7f248415063d44caf19398","1614808570","3514","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1614811249","1615416049","false","23","2","0xee629a192374caf2a72cf1695c485c5c89611ef2","2","","false","","","Passed","Nifty Chess grant funding proposal","Nifty Chess won Eth Denver 2021, is growing, and is requesting funds to build and grow an amazing chess dapp.","forum.metacartel.org/t/dao-funding-proposal-nifty-chess/919","Funding Proposal"
"false","0x66b1de0f14a0ce971f7f248415063d44caf19398","false","","1612473183","0x66b1de0f14a0ce971f7f248415063d44caf19398","true","false","1614739249","false","false","0","0x66b1de0f14a0ce971f7f248415063d44caf19398","false","0","0","5000000000000000000000","18","DAI","true","0x66b1de0f14a0ce971f7f248415063d44caf19398","1614743320","0x66b1de0f14a0ce971f7f248415063d44caf19398","143","140","0","true","0x66b1de0f14a0ce971f7f248415063d44caf19398","1613695342","3360","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1613702449","1614307249","false","20","2","0xee629a192374caf2a72cf1695c485c5c89611ef2","2","","false","","","Passed","Funding Proposal: Seeding nfDAO","MetaCartel will join nfDAO and seed the future builders of a vibrant NFT ecosystem!

Yalor will be the DAO representative.  ","https://forum.metacartel.org/t/proposal-metacartel-joins-nfdao/904","Funding Proposal"
